domain,setting,target,n,ag_can,mt5,xlmr
phone,s1,de,0,60.2 ± 0.0,62.6 ± 0.0,69.7 ± 0.0
phone,s1,vi,0,52.7 ± 0.0,50.8 ± 0.0,69.2 ± 0.0
phone,s1,zh,0,50.3 ± 0.0,58.9 ± 0.0,73.0 ± 0.0
phone,s2,de,50,57.5 ± 0.7*,60.9 ± 1.1,71.5 ± 1.2
phone,s2,de,100,60.3 ± 2.2,58.6 ± 3.2,70.3 ± 1.6
phone,s2,de,200,60.1 ± 0.4,59.3 ± 3.0,71.9 ± 0.8
phone,s2,vi,50,54.2 ± 2.3,54.1 ± 0.5,70.0 ± 0.2
phone,s2,vi,100,57.0 ± 0.7,52.3 ± 2.3,67.9 ± 0.7
phone,s2,vi,200,56.8 ± 3.9,55.2 ± 2.1,67.4 ± 2.0
phone,s2,zh,50,55.4 ± 3.2,59.6 ± 2.2,72.5 ± 0.2
phone,s2,zh,100,57.3 ± 1.9,58.7 ± 3.1,71.5 ± 1.8
phone,s2,zh,200,52.6 ± 0.8,55.9 ± 5.0,71.7 ± 1.8
phone,s3,de,0,64.9 ± 1.2,66.2 ± 0.8,72.0 ± 1.7
phone,s3,vi,0,64.3 ± 1.1,62.8 ± 1.3,70.7 ± 0.7
phone,s3,zh,0,64.0 ± 1.2,63.4 ± 1.0,73.4 ± 1.5
restaurant,s1,de,0,52.2 ± 0.0,60.8 ± 0.0,70.1 ± 0.0
restaurant,s1,vi,0,45.7 ± 0.0,48.8 ± 0.0,72.8 ± 0.0
restaurant,s1,zh,0,50.0 ± 0.0,52.2 ± 0.0,73.2 ± 0.0
restaurant,s2,de,50,53.7 ± 2.1,58.0 ± 1.2,73.3 ± 1.1
restaurant,s2,de,100,55.0 ± 2.5,59.1 ± 2.9,73.2 ± 1.9
restaurant,s2,de,200,58.7 ± 4.5,62.4 ± 1.4,72.4 ± 1.2
restaurant,s2,vi,50,50.3 ± 2.3,55.5 ± 3.1,71.8 ± 1.7
restaurant,s2,vi,100,54.4 ± 3.1,50.9 ± 4.5,71.5 ± 1.8
restaurant,s2,vi,200,52.6 ± 0.6,54.3 ± 1.3,71.6 ± 0.9
restaurant,s2,zh,50,52.0 ± 1.5*,60.1 ± 2.8,72.1 ± 1.2
restaurant,s2,zh,100,56.6 ± 1.5*,62.8 ± 2.2,74.1 ± 1.9
restaurant,s2,zh,200,53.9 ± 3.5,62.9 ± 1.0,74.1 ± 1.7
restaurant,s3,de,0,61.0 ± 1.4*,66.1 ± 1.8,72.2 ± 1.5
restaurant,s3,vi,0,60.3 ± 1.6,65.3 ± 2.6,72.1 ± 1.8
restaurant,s3,zh,0,58.1 ± 6.8,58.1 ± 5.8,71.6 ± 3.0
